count;name;price;url
352;"Ноутбук ASUS; Core i3-6006U, GeForce MX110, 6 Гб, 400 Гб, 80 Гб";19 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_core_i3_6006u_geforce_mx110_6_gb_400_gb_80_gb/
353;"Ноутбук ASUS; Core i7-5500U, GeForce 940M, 8 Гб, 256 Гб, 1 Tb";19 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_core_i7_5500u_geforce_940m_8_gb_256_gb_1_tb_1/
354;"Ноутбук HP probook 650; Core i5-4200M, Intel HD Graphics 4600, 4 Гб, Нет, 500 Гб";19 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_probook_650_core_i5_4200m_intel_hd_graphics_4600_4_gb_net_500_gb/
355;"Ноутбук DELL; Core i5-5300U, Intel HD Graphics 5500, 16 Гб, 480 Гб, Нет";19 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_core_i5_5300u_intel_hd_graphics_5500_16_gb_480_gb_net/
356;"Ноутбук Apple a1465;";19 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_a1465/
357;"Ноутбук ASUS K541U; Core i3-7100U, GeForce 920MX, 4 Гб, Нет, 500 Гб";19 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_k541u_core_i3_7100u_geforce_920mx_4_gb_net_500_gb/
358;"Ноутбук iRu Калибр 15GLG; Celeron N4020, HD Graphics, 4 Гб, Нет, 1 Tb";19 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_iru_kalibr_15glg_celeron_n4020_hd_graphics_4_gb_net_1_tb_2/
359;"Ноутбук DELL; Core i3-6006U, Intel HD Graphics 520, 4 Гб, Нет, 1 Tb";18 999;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_core_i3_6006u_intel_hd_graphics_520_4_gb_net_1_tb/
360;"Ноутбук Acer N20Q1; Silver 3050U, HD Graphics, 4 Гб, 128 Гб, Нет";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_n20q1_silver_3050u_hd_graphics_4_gb_128_gb_net/
361;"Ноутбук HP 450 g3; Core i3-6100U, Intel HD Graphics 520, 8 Гб, 120 Гб, Нет";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_450_g3_core_i3_6100u_intel_hd_graphics_520_8_gb_120_gb_net_1/
362;"Ноутбук Lenovo ideapad 300; Core i5-6200U, Radeon R5 M430, 6 Гб, Нет, 1 Tb";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_ideapad_300_core_i5_6200u_radeon_r5_m430_6_gb_net_1_tb_1/
363;"Ноутбук Apple MacBook Air 11"" 2015 A1465";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_macbook_air_11_2015_a1465/
364;"Ноутбук ASUS; Core i3-6006U, GeForce MX110, 6 Гб, Нет, 240 Гб";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_core_i3_6006u_geforce_mx110_6_gb_net_240_gb/
365;"Ноутбук HP 450 g3; Core i3-6100U, Intel HD Graphics 520, 8 Гб, 120 Гб, Нет";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_450_g3_core_i3_6100u_intel_hd_graphics_520_8_gb_120_gb_net/
366;"Ноутбук HP; A10-9620P, Radeon R5 series, 6 Гб, Нет, 1 Tb";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_a10_9620p_radeon_r5_series_6_gb_net_1_tb/
367;"Ноутбук HP .; Core i5-6200U, Radeon R5 M330, 4 Гб, 120 Гб, Нет";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_core_i5_6200u_radeon_r5_m330_4_gb_120_gb_net/
368;"Ноутбук Lenovo; Core i3-6006U, GeForce 920M, 4 Гб, Нет, 500 Гб";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_core_i3_6006u_geforce_920m_4_gb_net_500_gb_1/
369;"Ноутбук Lenovo; Core i5-5200U, Intel HD Graphics 5500, 8 Гб, 120 Гб, Нет";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_core_i5_5200u_intel_hd_graphics_5500_8_gb_120_gb_net/
370;"Ноутбук iRu Калибр 15GLG; Celeron N4020, HD Graphics, 4 Гб, Нет, 1 Tb";18 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_iru_kalibr_15glg_celeron_n4020_hd_graphics_4_gb_net_1_tb_7/
371;"Ноутбук Acer; Core i5-6200U, GeForce 940MX, 6 Гб, Нет, 650 Гб";18 800;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_core_i5_6200u_geforce_940mx_6_gb_net_650_gb/
372;"Ноутбук HP; A9-9425, Radeon R7 M440, 8 Гб, 250 Гб, Нет";18 590;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_a9_9425_radeon_r7_m440_8_gb_250_gb_net/
373;"Ноутбук HP 17bs037ur; Core i3-6006U, Intel HD Graphics 520, 4 Гб, Нет, 1 Tb";18 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_17bs037ur_core_i3_6006u_intel_hd_graphics_520_4_gb_net_1_tb/
